"title","species","cultivar","treatment","curve_no","ci","a","measurement_co2_micromol_mol_1","n","doy","measurement_time","setting","latitude","longitude","soil_type","growth_fertilization","experiment_fertilization","growth_watering","mean_annual_rainfall_mm","experiment_watering","growth_day_length_h","growth_ppfd","measurement_ppfd","growth_rh_day_pcntj","growth_rh_night_pcntj","measurement_rh_pcntj","growth_vpd","measurement_vpd_k_pa","growth_t_day","growth_t_night","mean_growth_season_t","max_growth_season_t","min_growth_season_t","measurement_t","growth_co2_day_micromol_mol_1","growth_co2_night_micromol_mol_1","gs_growth_ca","leaf","gas_exchange_equipment"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,256,22.3,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,226,23.4,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,242,21.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,212,20.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,130,21.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,124,22.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,101,18.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,88.9,19.9,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,55.4,15.3,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,70.6,14.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,44,8.9,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,43.9,9.55,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
